date,price_usd,price_eur,volume_24h,market_cap
2024-09-13,60571.30000000,,32490528356.00,
2024-09-12,58127.01000000,,33835707949.00,
2024-09-11,57343.17000000,,37049062672.00,
2024-09-10,57648.71000000,,28857630507.00,
2024-09-09,57019.54000000,,34618096173.00,
2024-09-08,54841.57000000,,18268287531.00,
2024-09-07,54139.69000000,,19061486526.00,
2024-09-06,53948.75000000,,49361693566.00,
2024-09-05,56160.49000000,,31030280656.00,
2024-09-04,57971.54000000,,35627680312.00,
2024-09-03,57431.02000000,,26666961053.00,
2024-09-02,59112.48000000,,27036454524.00,
2024-09-01,57325.49000000,,24592449997.00,
2024-08-31,58969.90000000,,12403470760.00,
2024-08-30,59119.48000000,,32292756405.00,
2024-08-29,59388.18000000,,32224990582.00,
2024-08-28,59027.63000000,,40289564698.00,
2024-08-27,59504.13000000,,39103882198.00,
2024-08-26,62880.66000000,,27682040631.00,
2024-08-25,64333.54000000,,18827683555.00,
2024-08-24,64178.99000000,,21430585163.00,
2024-08-23,64094.36000000,,42530509233.00,
2024-08-22,60381.91000000,,27625734377.00,
2024-08-21,61175.19000000,,32731154072.00,
2024-08-20,59012.79000000,,31613400008.00,
2024-08-19,59493.45000000,,25911207712.00,
2024-08-18,58483.96000000,,17740625837.00,
2024-08-17,59478.97000000,,13589684021.00,
2024-08-16,58894.11000000,,29350938673.00,
2024-08-15,57560.10000000,,35682112440.00,
2024-08-14,58737.27000000,,29961696180.00,
2024-08-13,60609.57000000,,30327698167.00,
2024-08-12,59354.52000000,,37078637820.00,
2024-08-11,58719.48000000,,22759754812.00,
2024-08-10,60945.81000000,,15745822278.00,
2024-08-09,60880.11000000,,33425553115.00,
2024-08-08,61710.14000000,,45298472567.00,
2024-08-07,55027.46000000,,41637562185.00,
2024-08-06,56034.32000000,,49300484106.00,
2024-08-05,53991.46000000,,108991085584.00,
2024-08-04,58116.98000000,,31758917219.00,
2024-08-03,60680.09000000,,31753030589.00,
2024-08-02,61415.07000000,,43060875727.00,
2024-08-01,65357.50000000,,40975554494.00,
2024-07-31,64619.25000000,,31292785994.00,
2024-07-30,66201.02000000,,31380492109.00,
2024-07-29,66819.91000000,,40780682628.00,
2024-07-28,68255.87000000,,18043166945.00,
2024-07-27,67813.34000000,,34691905492.00,
2024-07-26,67912.06000000,,30488630457.00,
2024-07-25,65777.23000000,,38315761670.00,
2024-07-24,65372.13000000,,27470942309.00,
2024-07-23,65927.67000000,,35605668666.00,
2024-07-22,67585.25000000,,42649109453.00,
2024-07-21,68154.52000000,,26652190004.00,
2024-07-20,67163.65000000,,19029581250.00,
2024-07-19,66710.16000000,,37003855410.00,
2024-07-18,63974.07000000,,27239305337.00,
2024-07-17,64118.79000000,,32525071311.00,
2024-07-16,65097.15000000,,41617346768.00,
2024-07-15,64870.15000000,,38094526099.00,
2024-07-14,60787.79000000,,22223416061.00,
2024-07-13,59231.95000000,,17080061806.00,
2024-07-12,57899.46000000,,25604805221.00,
2024-07-11,57344.91000000,,28707803842.00,
2024-07-10,57742.50000000,,26175260526.00,
2024-07-09,58009.23000000,,27849512607.00,
2024-07-08,56705.10000000,,39766159899.00,
2024-07-07,55849.11000000,,20553359505.00,
2024-07-06,58303.54000000,,20610320577.00,
2024-07-05,56662.38000000,,55417544033.00,
2024-07-04,56977.70000000,,41149609230.00,
2024-07-03,60173.92000000,,29756701685.00,
2024-07-02,62029.02000000,,20151616992.00,
2024-07-01,62851.98000000,,25468379421.00,
2024-06-30,62678.29000000,,17333226409.00,
2024-06-29,60887.38000000,,12652903396.00,
2024-06-28,60320.14000000,,24952866877.00,
2024-06-27,61604.80000000,,21231745045.00,
2024-06-26,60811.28000000,,22506003064.00,
2024-06-25,61804.64000000,,29201215431.00,
2024-06-24,60277.41000000,,43152133651.00,
2024-06-23,63180.80000000,,11170471802.00,
2024-06-22,64252.58000000,,9858198793.00,
2024-06-21,64096.20000000,,26188171739.00,
2024-06-20,64828.66000000,,25641109124.00,
2024-06-19,64960.30000000,,21103423504.00,
2024-06-18,65140.75000000,,39481285950.00,
2024-06-17,66490.30000000,,30006354476.00,
2024-06-16,66639.05000000,,13281140541.00,
2024-06-15,66191.00000000,,14121265576.00,
2024-06-14,66011.09000000,,27403884779.00,
2024-06-13,66756.40000000,,28955204146.00,
2024-06-12,68241.19000000,,34497940694.00,
